MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS,,,,,,,,,,,,,,,,
PROVINCIA DE CORRIENTES    ,,,,,,,,,,,,,,,,
DCCION. REGISTRO DE CONSTRUCTORES DE OBRAS PUBLICAS  ,,,,,,,,,,,,,,,,
DECLARACION JURADA:,,,,EMPRESA:,,,,,,,,,FORMULARIO Nº 12,,,
OBRAS EN EJECUCION,,,,ESPECIALIDAD: ARQUITECTURA ,,,,,,,,,,,,
               DETALLE DE LAS OBRAS EN EJECUCION ,,,,,,,,,,,,,,,,
Nº ,DESIGNACION Y UBICACION,SUP. DE OBRA (M2),ENTIDAD  CONTRATANTE,FECHAS ,,,IMPORTES (EN PESOS) A VALORES BASICOS,,,       PLAZOS (EN MESES),,,,%,,
,,,,MES BASICO,FIRMA DE,INICIACION,CONTRATO MAS,CERTIFICADO,SALDO A,SEGUN,PRORROGAS,PLAZO,PLAZO,,,
,,,,DE CONTRATO,CONTRATO,,AMPLIACIONES,A LA FECHA,CERTIFICAR,CONTRATO,ACORDADAS,TOTAL,TRANSC.,,,
1,NUEVA- SECTOR 1- SECTOR II- 4° ETAPA-HOSPITAL SUSSINI-,,S.U.E.P,JUN.-16,,ENE.- 17," $ 27,900,000.33 "," $ 27,900,000.33 ", $ -   ,10,17,27,19,100.00%,,
1,CENTRO INTERPRETACION JESUITICO GUARANI,495.00,MOySP,Dec-19,,6/25/20," $ 20,132,072.92 "," $ 20,132,072.92 ", $ -   ,8,1,9,8,100.00%,,
2,MUSEO HISTORICO YAPEYU,659.21,MOySP,Nov-19,,7/24/20," $ 22,513,066.00 "," $ 22,513,066.00 ", $ -   ,9,1,10,7,100.00%,,
1,HOSPITAL SAN ANTONIO DE PADUA - LA CRUZ,1630,MOySP,Jul-20,,3/8/21," $ 111,300,963.31 "," $ 111,300,963.31 ", $ -   ,13,3,16,16,100.00%,,
4,"CONSTRUCCION DE 15 VIVIENDAS O,C. PROV. TERRENO URB. Y OB. INFR. P/CONJ. - TAPEBICUA",956.55,IN.VI.CO,Dec-16,,7/1/20," $ 40,037,976.63 "," $ 37,927,975.26 "," $ 2,110,001.37 ",16,,12,8,94.73%,,
2,"CONSTRUCCION DE 20 VIVIENDAS, O. C., PROV. TERRENO DONDE SE EJEC. LAS OBRAS, PROY. URB. Y OB. DE INF P/CONJUNTO - YAPEYU",1275.40,IN.VI.CO,Sep-20,,2/1/21," $ 59,377,496.04 "," $ 56,527,376.23 "," $ 2,850,119.81 ",8,,8,8,95.20%,,
1,"CONSTRUCCION DE 20 VIVIENDAS, O. C. PROPIAS DEL CONJ. - MOCORETA",1217.10,IN.VI.CO,May-21,,2/23/22," $ 94,581,019.22 "," $ 94,581,019.22 ", $ -   ,8,2,10,10,100.00%,,
7,ACONDICIONAMIENTO AMPLIACION TERMINACION DE EDIFICIOS EN EL COMPLEJO FORMATIVO POLICIAL SANTA CATALINA 3RA ETAPA,1500.00,Ministerio de Seguridad,Feb-21,,6/30/21," $ 49,910,000.00 "," $ 39,928,000.00 "," $ 9,982,000.00 ",6,,6,3,80.00%,,
3,"PROYECTO DE OBRA JARDÍN MATERNAL A EJECUTARSE EN LA CRUZ, PROVINCIA DE CORRIENTES",165.20,MOySP,Jul-20,,9/17/21," $ 12,312,735.60 "," $ 12,097,262.73 "," $ 215,472.87 ",4,2,6,5,98.25%,,
3,CONSTRUCCIÓN JIN N°36 EN ESCUELA N°656 - SAUCE - PROVINCIA DE CORRIENTES,545.00,Ministerio de Educaciòn de la Nación,Oct-21,,2/25/22," $ 59,999,999.80 "," $ 59,999,999.80 ", $ -   ,6,2,8,8,100.00%,,
4,"DENOMINACION DE LA OBRA: CONSTRUCCION DE JARDIN “J.I.N.en Esc. 419” - COLONIA SAN ANTONIO - ITUZAINGO- PROVINCIA: CORRIENTES

",550.00,Ministerio de Educaciòn de la Nación,Feb-21,,9/29/21," $ 61,716,829.97 "," $ 46,503,631.38 "," $ 15,213,198.59 ",6,3,6,8,75.35%,,
