LICITACION PRIVADA N° 01/2025,,,,,,,
UBICACIÓN: CORRIENTES- DPTO. CAPITAL - PROVINCIA DE CORRIENTES,,,,,,,
"OBRA: “MODULO DORMITORIO EN ESCUELA DE POLICIA, TANQUE DE RESERVA Y TRABAJOS EXTERIORES” ",,,,,,," $ 909,489,055.87 "
FECHA,CERTIFICADOS - ANTICIPO - OBRA,% AVANCE,MONTO,EXPTE,UBICACIÓN EXTE,COBRADO,FACTURADO
May-25,A.F.,40.00%,"$ 363,795,622.35",320-5355/25,COBRADO,SI,4449
May-25,C1,32.40%,"$ 176,857,675.01",320-5537/25,COBRADO,SI,4469
Jun-25,C2,56.98%,"$ 134,086,367.47",320-6300/25,COBRADO,SI,4517
Jul-25,C3,-89.38%,"$ 234,749,391.04",320-7142/25,COBRADO,SI,4561
,,TOTAL ,"$ 909,489,055.87",,,,
REDETERMINACINO DE OBRA,,,,,,,
FECHA,CERTIFICADOS,,MONTO,EXPTE,UBICACIÓN EXTE,COBRADO,FACTURADO
18 de junio de 2025,SOLICITUD DE REDETERMINACION DE OBRA ,,,320-5527/25,"REF.: DECRETO PROVINCIAL N° 2576/02.- OBRA: ``MODULO DORMITORIO EN ESCUELA DE POLICIA - TANQUE DE RESERVA Y TRABAJOS EXTERIORES`` - CORRIENTES - CAPITAL.- OBJ. SOLICITAR REDETERMINACIONES DE PRECIOS.
UBICACIÓN ACTUAL :
Oficina: DIRECCION DE INFRAESTRUCTURA. Repartición: MINISTERIO DE EDUCACION
Desde: 18/06/2025",,
