,CERTIFICADO,15, $ -   ,JULIO,-,,,,,,,,,,
,CERTIFICADO,16, $ -   ,AGOSTO,-,,,,,,,,,,
,CERTIFICADO,17, $ -   ,SEPTIEMBRE,-,,,,,,,,,,
,CERTIFICADO,18," $ 12,750,768.01 ",OCTUBRE,SI,,,,,,,,,,
,CERTIFICADO,19," $ 34,923,468.48 ",NOVIEMBRE,SI,,,,,,,,,,
,CERTIFICADO,20," $ 21,440,356.44 ",DICIEMBRE,SI,,,,,,,,,,
,CERTIFICADO,21," $ 6,774,727.47 ",ENERO,SI,,,,,,,,,,
,CERTIFICADO,22," $ 3,471,457.91 ",FEBRERO,SI,,,,,,,,,,
,CERTIFICADO,23," $ 25,308,756.26 ",MARZO,SI,,,,,,,,,,
,CERTIFICADO,24, $ -   ,ABRIL,-,,,,,,,,,,
,CERTIFICADO,25, $ -   ,MAYO,-,,,,,,,,,,
,CERTIFICADO,26, $ -   ,JUNIO,-,,,,,,,,,,
5261/25,CERTIFICADO,27," $ 1,312,139.53 ",JULIO,NO,,,,,,,,,,
N° EXP.,BASICO/ ABR 22,N°, CONST. 15 VIV. - BONPLAND ,100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 365,922,987.46 ",,AVANCES,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,PARCIAL,ACUM,,,,,,
,CERTIFICADO,1," $ 3,983,801.04 ",Mar-23,SI,,,2.11%,2.11%,,,,,,
,CERTIFICADO,2," $ 20,049,192.08 ",Apr-23,SI,,,10.19%,12.30%,,,,,,
,CERTIFICADO,3," $ 11,161,983.08 ",May-23,SI,,,5.39%,17.69%,,,,,,
,CERTIFICADO,4," $ 21,883,728.35 ",Jun-23,SI,,,9.87%,27.56%,,,,,,
,CERTIFICADO,5," $ 30,620,974.12 ",Jul-23,SI,,,13.81%,41.37%,,,,,,
,CERTIFICADO,6," $ 25,759,416.78 ",Aug-23,SI,,,11.62%,52.99%,,,,,,
,CERTIFICADO,7," $ 15,574,801.55 ",Sep-23,SI,,,7.03%,60.02%,,,,,,
,CERTIFICADO,8," $ 20,755,860.38 ",Oct-23,SI,,,9.36%,69.38%,,,,,,
,CERTIFICADO,9," $ 19,325,011.59 ",Nov-23,SI,,,5.65%,75.03%,,,,,,
,CERTIFICADO,10," $ 22,454,095.26 ",Dec-23,SI,,COBRADO CON AJUSTES EN 3 TRAMOS,2.80%,77.83%,,,,,,
,CERTIFICADO,11," $ 10,852,873.73 ",Jan-24,SI,,,2.49%,80.32%,,,,,,
,CERTIFICADO,12," $ 6,804,275.36 ",Feb-24,SI,,,1.26%,81.58%,,,,,,
,CERTIFICADO,13," $ 3,701,071.99 ",Mar-24,SI,,,0.69%,82.27%,,,,,,
,CERTIFICADO,14," $ 2,834,073.22 ",Apr-24,SI,,,0.53%,82.80%,,,,,,
,CERTIFICADO,15," $ 1,948,408.93 ",May-24,SI,,,0.36%,83.16%,,,,,,
,CERTIFICADO,16,$ 0.00,Jun-24,-,,,0.00%,83.16%,,,,,,
,CERTIFICADO,17,$ 0.00,Jul-24,-,,,0.00%,83.16%,,,,,,
,CERTIFICADO,18,$ 0.00,Aug-24,-,,,0.00%,83.16%,,,,,,
,CERTIFICADO,19,$ 0.00,Sep-24,-,,,0.00%,83.16%,,,,,,
,CERTIFICADO,20," $ 13,195,754.84 ",Oct-24,SI,,,1.55%,84.71%,,,,,,
,CERTIFICADO,21," $ 8,280,904.10 ",Nov-24,SI,,,0.94%,85.65%,,,,,,
,CERTIFICADO,22," $ 7,121,609.14 ",Dec-24,SI,,,0.81%,86.46%,,,,,,
1265/25,CERTIFICADO,23," $ 2,560,446.60 ",Jan-25,SI,,,0.29%,86.75%,,,,,,
1869/25,CERTIFICADO,24," $ 55,152,874.30 ",Feb-25,SI,,,6.25%,93.00%,,,,,,
3628/25,CERTIFICADO,25," $ 44,193,498.00 ",Mar-25,SI,,,5.00%,98.00%,,,,,,
,CERTIFICADO,26,$ 0.00,Apr-25,-,,,0.00%,98.00%,,,,,,
,CERTIFICADO,27,$ 0.00,May-25,-,,,0.00%,98.00%,,,,,,
,CERTIFICADO,28,$ 0.00,Jun-25,-,,,0.00%,98.00%,,,,,,
5259/25,CERTIFICADO,29," $ 17,708,333.02 ",Jul-25,NO,,,2.00%,100.00%,,,,,,
N° EXP.,BASICO/ JUL 22,N°, CONST. 15 VIV. - (AP. PROV.) - BONPLAND ,100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 122,620,529.14 ",,,,,,,,,
CERTIFICADOS DE OBRA - ADENDA,,,,,,,,,,,,,,,
,CERTIFICADO,1," $ 12,228,756.05 ",May-23,SI,,,,,,,,,,
,CERTIFICADO,2," $ 7,305,831.91 ",Jun-23,SI,,,,,,,,,,
,CERTIFICADO,3," $ 10,222,741.80 ",Jul-23,SI,,,,,,,,,,
,CERTIFICADO,4," $ 8,595,282.78 ",Aug-23,SI,,,,,,,,,,
,CERTIFICADO,5," $ 5,199,611.18 ",Sep-23,SI,,,,,,,,,,
,CERTIFICADO,6," $ 6,929,295.66 ",Oct-23,SI,,,,,,,,,,
,CERTIFICADO,7," $ 6,463,028.68 ",Nov-23,SI,,,,,,,,,,
,CERTIFICADO,8," $ 7,508,540.45 ",Dec-23,SI,,,,,,,,,,
,CERTIFICADO,9," $ 3,623,208.85 ",Jan-24,SI,,,,,,,,,,
,CERTIFICADO,10," $ 2,271,592.67 ",Feb-24,SI,,,,,,,,,,
,CERTIFICADO,11," $ 1,235,594.75 ",Mar-24,SI,,,,,,,,,,
,CERTIFICADO,12," $ 946,147.83 ",Apr-24,SI,,,,,,,,,,
,CERTIFICADO,13," $ 650,469.34 ",May-24,SI,,,,,,,,,,
,CERTIFICADO,14, $ -   ,Jun-24,-,,,,,,,,,,
,CERTIFICADO,15, $ -   ,Jul-24,-,,,,,,,,,,
,CERTIFICADO,16, $ -   ,Aug-24,-,,,,,,,,,,
,CERTIFICADO,17, $ -   ,Sep-24,-,,,,,,,,,,
,CERTIFICADO,18," $ 4,376,873.53 ",Oct-24,SI,,,,,,,,,,
,CERTIFICADO,19," $ 2,764,558.08 ",Nov-24,SI,,,,,,,,,,
,CERTIFICADO,20," $ 2,377,535.72 ",Dec-24,SI,,,,,,,,,,
,CERTIFICADO,21," $ 854,804.24 ",Jan-25,SI,,,,,,,,,,
,CERTIFICADO,22," $ 18,412,664.20 ",Feb-25,SI,,,,,,,,,,
,CERTIFICADO,23," $ 14,783,386.58 ",Mar-25,SI,,,,,,,,,,
,CERTIFICADO,24, $ -   ,Apr-25,-,,,,,,,,,,
,CERTIFICADO,25, $ -   ,May-25,-,,,,,,,,,,
,CERTIFICADO,26, $ -   ,Jun-25,-,,,,,,,,,,
5258/25,CERTIFICADO,27," $ 5,870,604.84 ",Jul-25,NO,,,,,,,,,,
N° EXP.,BASICO/ JUN 24,N°, CORDÓN CUNETA - RIPIO Y BADÉN - P/40 VIV - LA CRUZ ,100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 401,529,577.80 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
,CERTIFICADO,1," $ 50,611,477.73 ",ENERO,NO,,,,,,,,,,
,CERTIFICADO,2," $ 46,680,405.19 ",FEBRERO,NO,,,,,,,,,,
,CERTIFICADO,3," $ 129,948,585.18 ",MARZO,NO,,,,,,,,,,
,CERTIFICADO,4," $ 69,157,319.77 ",ABRIL,NO,,,,,,,,,,
4360/25,CERTIFICADO,5," $ 3,497,874.97 ",MAYO,NO,,,,,,,,,,
4585/25,CERTIFICADO,6," $ 5,504,175.32 ",JUNIO,NO,,,,,,,,,,
5344/25,CERTIFICADO,7," $ 58,557,625.05 ",JULIO,NO,,,,,,,,,,
6563/25,CERTIFICADO,8," $ 37,572,114.59 ",AGOSTO,NO,,,,,,,,,,
,,," $ 401,529,577.80 ",,,,,,,,,,,,
N° EXP.,BASICO/ JUN 24,N°, ADICN°1: CORDÓN CUNETA - RIPIO Y BADÉN - 40 VIV - LA CRUZ ,100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 44,643,377.05 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
,CERTIFICADO,1," $ 44,643,377.05 ",SEPTIEMBRE,NO,,,,,,,,,,
N° EXP.,BASICO/ JUN 24,N°, CONST 12 VIV - SANTO TOME ,14.12%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
