GEC S.A.,,,,,,,,,,,,,,
MOySP - UNIDAD DE ARQUITECTURA HOSPITALARIA ,,,,,,,,,,MONTO CONTRATO $ 325.940.769.50,,,,"$ 325,940,769.50"
CERTIFICADOS DE OBRA - HOSPITAL ROBINSON 2DA ETAPA - MONTE CASEROS - CORRIENTES,,,,,,,,,,,,,,15.03%
CERTIF.  N°,MES, MONTO  ,EXTE Nº,UBICACIÓN,UBICACIÓN,UBICACIÓN ,,FACT.,% AVANCE,UBICACIÓN EXTE-,,,,"$ 48,988,897.66"
ANTICIPO FINANCIERO,,,,,,,,,,,,,,
CERTIFICADO DE REDET. N° 5 - AVANCE BASADO EN CERT. DE OBRA N° 6,JUNIO," $ 47,399,576.65 ",140-2166/24,,,,,4034,SI,El expediente número: 106140000-002166/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 14-08-2024 y hora 09:08 AM,,,,
CERTIFICADO DE OBRA N° 7,JULIO," $ 5,372,481.69 ",140-2921/24,,,,,,,El expediente número: 106140000-002921/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 27-09-2024 y hora 11:09 AM,,,,
CERTIFICADO DE REDET. N° 6 - AVANCE BASADO EN CERT. DE OBRA N° 7,JULIO," $ 24,857,381.12 ",140-2923/24,,,,,,,El expediente número: 106140000-002923/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 27-09-2024 y hora 11:09 AM,,,,
CERTIFICADO DE OBRA N° 8,AGOSTO," $ 17,194,027.49 ",140-2924/24,,,,,,,El expediente número: 106140000-002924/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 01-10-2024 y hora 11:10 AM,,,,
CERTIFICADO DE REDET. N° 7 - AVANCE BASADO EN CERT. DE OBRA N° 8,AGOSTO," $ 44,073,100.97 ",140-2925/24,,,,,,,El expediente número: 106140000-002925/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 01-10-2024 y hora 11:10 AM,,,,
CERTIFICADO DE OBRA N° 9,SEPTIEMBRE," $ 25,375,140.78 ",140-3443/24,,,,,,,El expediente número: 106140000-003443/2024 en estado: Recibido se encuentra en la oficina DPTO. ASUNTOS ADMINISTRATIVOS de DIREC. ASUNTOS JURIDICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 14-10-2024 y hora 12:10 PM,,,,
CERTIFICADO DE REDET. N° 8 - AVANCE BASADO EN CERT. DE OBRA N° 9,SEPTIEMBRE," $ 80,241,491.05 ",140-3444/24,,,,,,,El expediente número: 106140000-003444/2024 en estado: Recibido se encuentra en la oficina DPTO. ASUNTOS ADMINISTRATIVOS de DIREC. ASUNTOS JURIDICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 14-10-2024 y hora 12:10 PM,,,,
CERTIFICADO DE OBRA N° 10,OCTUBRE," $ 26,357,852.21 ",140-3613/24,,,,,,,,,,,
CERTIFICADO DE REDET. N° 9 - AVANCE BASADO EN CERT. DE OBRA N° 10,OCTUBRE," $ 72,435,147.90 ",140-3614/24,,,,,,,El expediente número: 106140000-003444/2024 en estado: Recibido se encuentra en la oficina DPTO. ASUNTOS ADMINISTRATIVOS de DIREC. ASUNTOS JURIDICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 14-10-2024 y hora 12:10 PM,,,,
CERTIFICADO DE OBRA N° 11,NOVIEMBRE," $ 23,862,123.73 ",140-4259/24,,,,,NO,NO,El expediente número: 106140000-004259/2024 en estado: Derivado pendiente de recibir se encuentra en la oficina Mesa de Entrada y Salidas de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 30-12-2024 y hora 12:12 PM,,,,
