MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS,,,,,,,,,DEFINITIVA,,,?,,,,,,,,
PROVINCIA DE CORRIENTES    ,,,,,,,,,PROVISORIA,,,,,,,,,,,
DCCION. REGISTRO DE CONSTRUCTORES DE OBRAS PUBLICAS  ,,,,,,,,,PEDIR PROVISORIA,,,,,,,,,,,
DECLARACION JURADA:,,,,EMPRESA:,,,,,,,,,FORMULARIO Nº 12,,,,,,,
OBRAS  EJECUTADAS,,,,ESPECIALIDAD: ARQUITECTURA ,,,,,,,,,,,,,,,,
               DETALLE DE LAS OBRAS EJECUTADAS,,,,,,,,,,,,,,,,,,,,
Nº ,DESIGNACION Y UBICACION,SUP. DE OBRA (M2),ENTIDAD  CONTRATANTE,FECHAS ,,,IMPORTES (EN PESOS) A VALORES BASICOS,,,       PLAZOS (EN MESES),,,,%,,,,,,
,,,,MES BASICO,FIRMA DE,INICIACION,CONTRATO MAS,CERTIFICADO,SALDO A,SEGUN,PRORROGAS,PLAZO,PLAZO,,,,,,,
,,,,DE CONTRATO,CONTRATO,,AMPLIACIONES,A LA FECHA,CERTIFICAR,CONTRATO,ACORDADAS,TOTAL,TRANSC.,,,,,,,
4,OBRA: HOSPITAL SAMUEL W. ROBINSON- AMPLIACION SEGUNDA ETAPA- ,200.00,MOySP,May-23,,11/6/23," $ 325,940,769.50 "," $ 325,940,769.50 ", $ -   ,12,4,16,16,100.00%,,,,,,
5,OBRA: HOSPITAL SAMUEL W. ROBINSON- SEGUNDA ETAPA- TRABAJOS COMPLEMENTARIOS- MONTE CASEROS.,1100.00,MOySP,May-24,,," $ 1,189,080,665.00 "," $ 928,553,091.30 "," $ 260,527,573.70 ",8,0,8,5,78.09%,,,,,,
6,"Obra;“CONSTRUCCIÓN DE 20 VIVIENDAS, OBRAS COMPLEMENTARIAS PROPIAS DEL CONJUNTO - EN LA LOCALIDAD DE COLONIA LIBERTAD - CORRIENTES ”",1120.00,IN.VI.CO,Mar-23,,7/5/23," $ 263,012,097.96 "," $ 263,012,097.96 ", $ -   ,8,6,14,14,100.00%,,,,,,
7,"""CONSTRUCCIÓN DE 15 VIVIENDAS , VEREDA MUNICIPAL, ARBOLADO Y ALUMBRADO PUBLICO DEL CONJUNTO EN LA LOCALIDAD DE BOMPLAND”",990.00,IN.VI.CO,Apr-22,,3/6/23," $ 99,020,113.82 "," $ 85,612,790.41 "," $ 13,407,323.41 ",8,17,25,22,86.46%,,,,,,
4,OBRA: HOSPITAL SAMUEL W. ROBINSON- SEGUNDA ETAPA- TRABAJOS COMPLEMENTARIOS- MONTE CASEROS.,1100.00,MOySP,May-24,,," $ 1,189,080,665.00 "," $ 1,189,080,665.00 ", $ -   ,8,0,8,5,100.00%,,,,,,
8,CONSTRUCCION COMISARIA MOCORETA,240.00,IN.VI.CO,Jul-22,,11/11/22," $ 49,692,359.59 "," $ 49,692,359.59 ", $ -   ,10,,10,10,100.00%,,,,,,
9,HOSPITAL DR. SUSSINI REFACCION AMPLIACION COLONIA LIEBIG'S,400.00,IN.VI.CO,May-22,,12/5/22," $ 73,116,797.10 "," $ 73,116,797.10 ", $ -   ,12,,12,12,100.00%,,,,,,
10,"OBRA: CONSTRUCCION DE CORDON CUNETA, BADEN Y EMPEDRADO TIPO BRASILERO Y OBRAS DE PROTECCION CON COLCHONETAS EN COLONIA LIEBIG- ",890 M2+ 1200 M2 + 360 M2,IN.VI.CO,Jun-24,,10/21/24," $ 123,646,635.91 "," $ 123,646,635.91 ", $ -   ,2,2,4,4,100.00%,,,,,,
11,OBRA: INFRA ELECTRICA COLONIA LIBERTAD- ,450 BT + 320 MT,IN.VI.CO,Apr-24,,10/17/24," $ 149,015,919.05 "," $ 149,015,919.05 ", $ -   ,4,0,4,4,100.00%,,,,,,
12,OBRA COMPLEMENTARIAS DE RED DE INFRAESTRUCTURA DE AGUA Y CLOACA + CONSTRUCCION DE TERRAPLEN- COLONIA LIEBIG- ,350 ML + 300 ML,IN.VI.CO,Jun-24,,10/8/24," $ 120,975,964.34 "," $ 120,975,964.34 ", $ -   ,2,3,5,5,100.00%,,,,,,
13,OBRA: RED DE AGUA + RED DE CLOACA + REACONDICIONAMIENTO DE LA ESTACION ELEVADORA - P/40 VIVIENDAS - LOCALIDAD LA CRUZ- CORRIENTES,556 ML + 585 ML ,IN.VI.CO,Jun-24,,12/14/24," $ 193,491,875.46 "," $ 193,491,875.46 ", $ -   ,3,0,3,3,100.00%,,,,,,
14,"OBRA:  «MONTAJE DE ESTRUCTURA LAYHER PARA MEJORAR SOSTENIBILIDAD DE ESTEREO ESTRUCTURAS Y RETIRO, ARMADO DE NUEVO PISO DEL ESCENARIO DEL ANFITEATRO «MARIO DEL TRANSITO COCOMAROLA» UBICACIÓN: CAPITAL- PCIA DE CORRIENTES»",300.00,IN.VI.CO,Nov-24,,12/3/24," $ 81,777,270.96 "," $ 81,777,270.96 ", $ -   ,1,0,1,1,100.00%,,,,,,
15,"OBRA: PAVIMENTACION PLAYA DE MANIOBRAS, DEMOLICION DE ESTRUCTURAS Y ARMADO DE BANCOS DE HORMIGON ARMADO, ANFITEATRO MARIO DEL TRANSITO COCOMAROLA",370.00,IN.VI.CO,Sep-24,,12/18/24," $ 159,315,242.77 "," $ 159,315,242.77 ", $ -   ,2,0,2,2,100.00%,,,,,,
16,OBRA: MEJORAMIENTO DEL SISTEMA SANITARIO DEL ANFITEATRO  MARIO DEL TRANSITO COCOMAROLA,2 U,IN.VI.CO,Sep-24,,12/18/24," $ 158,151,138.05 "," $ 158,151,138.05 ", $ -   ,3,0,3,3,100.00%,,,,,,
14,"OBRA: INFRA ELECTRICA NEXO DE MEDIA TENSION 13,2 KV + RED DE BAJA TENSION PARA / 15 VIV - BONPLAND",1190.00,IN.VI.CO,Dec-24,,4/1/25," $ 151,497,843.25 "," $ 151,497,843.25 ", $ -   ,4,0,4,4,100.00%,,,,,,
18,OBRA: CUARTEL DE BOMBEROS FORESTALES- OBRA NUEVA- SEGUNDA ETAPA (1218)- ITUZAINGO CORRIENTES- ,1300.00,D.P.O,Jan-24,,-," $ 835,399,172.16 "," $ 835,399,172.16 ", $ -   ,6,0,6,0,100.00%,,,,,,
19,OBRA: CUARTEL DE BOMBEROS FORESTALES- OBRA NUEVA- SEGUNDA ETAPA (1214)- PASO DE LOS LIBRES- CORRIENTES- ,1300.00,D.P.O,Jan-24,,-," $ 835,203,255.90 "," $ 835,203,255.90 ", $ -   ,6,0,6,0,100.00%,,,,,,
20,OBRA: CUARTEL DE BOMBEROS FORESTALES- OBRA NUEVA- TERCERA ETAPA (1283)- ITUZAINGO- CORRIENTES- ,1300.00,D.P.O,May-24,,-," $ 971,239,181.32 "," $ 971,239,181.32 ", $ -   ,6,0,6,0,100.00%,,,,,,
21,OBRA: CUARTEL DE BOMBEROS FORESTALES- OBRA NUEVA- TERCERA ETAPA (1281)- PASO DE LOS LIBRES- CORRIENTES- ,1300.00,D.P.O,May-24,,-," $ 971,239,581.32 "," $ 971,239,581.32 ", $ -   ,6,0,6,0,100.00%,,,,,,
25,OBRA: CUARTEL DE BOMBEROS FORESTALES- OBRA NUEVA- CUARTA ETAPA (1328)- ITUZAINGO- CORRIENTES,1300.00,D.P.O,Jan-25,,6/5/25," $ 1,195,481,069.53 "," $ 1,195,481,069.53 ", $ -   ,6,0,6,2,100.00%,,,,,,
26,OBRA: CUARTEL DE BOMBEROS FORESTALES- OBRA NUEVA- CUARTA ETAPA (1326)- PASO DE LOS LIBRES- CORRIENTES,1300.00,D.P.O,Jan-25,,6/5/25," $ 1,211,871,306.21 "," $ 1,211,871,306.21 ", $ -   ,6,0,6,2,100.00%,,,,,,
22,COMISARÍA DE PARADA PUCHETA,,MINISTERIO DE SEGURIDAD,Oct-24,,4/14/25," $ 224,961,043.68 "," $ 224,961,043.68 ", $ -   ,4,0,4,3,100.00%,,,,,,
23,OBRA: CERCO PERIMETRAL- PARQUE INDUSTRIAL- CURUZU CUATIA.,3650 ML,"MINISTERIO DE INDUSTRIA, TRABAJO Y COMERCIO",Oct-24,,12/13/24," $ 845,990,728.73 "," $ 845,990,728.73 ", $ -   ,6,0,6,6,100.00%,,,,,,
24,"OBRA: VINCULO DE MEDIA TENSION 13,2 KV- PARQUE INDUSTRIAL Y LOGISTICO- PASO DE LOS LIBRES",,"MINISTERIO DE INDUSTRIA, TRABAJO Y COMERCIO",Oct-24,,11/4/24," $ 84,717,337.56 "," $ 84,717,337.56 ", $ -   ,3,0,3,3,100.00%,,,,,,+
28,"OBRA: TERCERA ETAPA- EXTERIOR - VIAL, ESTACIONAMIENTOS, ILUM. Y PARQUIZADO - PARQUE TECNOLOGICO UNNE - RUTA NAC.12 - CTES.",,"MINISTERIO DE INDUSTRIA, TRABAJO Y COMERCIO",Mar-25,,11/4/24," $ 967,889,102.62 "," $ 967,889,102.62 ", $ -   ,2,1,3,3,100.00%,,,,,,
25,OBRA: CONSTRUCCION DE JUZGADO DE PAZ- YAPEYU- CORRIENTES,120.00,PODER JUDICIAL,Aug-24,,12/2/24," $ 379,096,238.60 "," $ 379,096,238.60 ", $ -   ,8,0,8,7,100.00%,,,,,,
31,OBRA: RED DE GAS NATURAL PARA EL PARQUE INDUSTRIAL- PASO DE LOS LIBRES- ,1840.00,SECRETARIA DE ENERGIA,Jun-23,,2/19/24," $ 272,071,272.82 "," $ 272,071,272.82 ", $ -   ,8,3,12,10,100.00%,,,,,,
27,OBRA: CONSTRUCCIÓN DE CALZADA CON PAVIMENTO DE HORMIGÓN DEL PASEO COSTERO SANTO TOMÉ - CTES,1840.00,UCAPFI,Jun-23,,8/22/23," $ 276,913,272.17 "," $ 276,913,272.17 ", $ -   ,6,16,22,22,100.00%,,,,,,
28,OBRA: CONSTRUCCION DE PAVIMENTI CALLE SAENZ PEÑA- SANTO TOME - CORRIENTES,2817.24,UCAPFI,Jul-24,,," $ 281,115,587.25 "," $ 281,115,587.25 ", $ -   ,3,0,3,3,100.00%,,,,,,
29,"OBRA: NEXO 13,2 KB E ILUMINACION PASEO COSTERO SANTO TOME CTES",2817.24,UCAPFI,May-25,,6/2/25," $ 479,893,184.04 "," $ 479,893,184.04 ", $ -   ,2,0,2,2,100.00%,,,,,,
30,OBRA: REFACCIÓN SALA DE RESONANCIA MAGNETICA NUCLEAR DEL HOSPITAL PEDIATRICO JUAN P. SEGUNDO - CORRIENTES CAPITAL,,MINISTERIO DE SALUD,May-25,,7/15/25," $ 82,449,991.80 "," $ 82,449,991.80 ", $ -   ,1,0,1,1,100.00%,,,,,,
31,OBRA: PROVISIÓN EQUIPAMIENTOS BÁSICOS Y MONTAJE GENERAL PARA NUEVO INST. ONCOLOGICO - CORRIENTES,,MINISTERIO DE SALUD,May-25,,7/16/25," $ 254,878,645.65 "," $ 254,878,645.65 ", $ -   ,1,0,1,1,100.00%,,,,,,
32,SANTA ROSA,,MINISTERIO DE SALUD,,,,, $ -   , $ -   ,1,0,1,1,100.00%,,,,,,
32,PUESTA EN VALOR MUSEO CASA HISTORICO BARTOLOMÉ MITRE - SEGUNDA ETAPA - SAN COSME,,SUEP,Jul-24,,2/20/24," $ 251,998,854.47 "," $ 229,117,358.48 "," $ 22,881,495.99 ",8,0,0,6,90.92%,,,,,,
33,ENRIPIADO Y OBRAS COMPLEMETARIAS - PRIMERA ETAPA - PARQUE INDUSTRIAL CURUZU CUATIA,2655.00,"MINISTERIO DE INDUSTRIA, TRABAJO Y COMERCIO",Jul-24,,9/4/24," $ 595,672,179.56 "," $ 595,672,179.56 ", $ -   ,8,,,8,100.00%,,,,,,
34,"PRIMER ETAPA CERCO PERIMETRAL Y ALCANTARILLA DE ACCESO, PARQUE INDUSTRIAL BELLA VISTA",2970.50,"MINISTERIO DE INDUSTRIA, TRABAJO Y COMERCIO",Aug-23,,11/7/23," $ 195,041,461.36 "," $ 195,041,461.36 ", $ -   ,8,,,8,100.00%,,,,,,
Deberán declararse la Obras en ejecución y las,,,,,,,,,,,,,,,,,,,,
contratadas sin inicio de obra,,,,,,,,.........................................,,,..............................,,,,,,,,,
,,,,,,,,   FIRMA Y SELLO,,,FIRMA Y SELLO,,,,,,,,,
,,,,,,,,REPRESENTANTE TECNICO,,,TITULAR DE,,,,,,,,,
,,,,,,,,,,,LA EMPRESA,,,,,,,,,
